Year,fdi_inflow_gdp
12-31-1990,0.07
12-31-1991,0.03
12-31-1992,0.09
12-31-1993,0.19
12-31-1994,0.3
12-31-1995,0.58
12-31-1996,0.64
12-31-1997,0.85
12-31-1998,0.61
12-31-1999,0.47
12-31-2000,0.75
12-31-2001,1.12
12-31-2002,1.1
12-31-2003,0.72
12-31-2004,0.82
12-31-2005,0.93
12-31-2006,2.16
12-31-2007,2.14
12-31-2008,3.72
12-31-2009,2.71
12-31-2010,1.64
12-31-2011,1.93
12-31-2012,1.3
12-31-2013,1.47
12-31-2014,1.69
12-31-2015,2.05
12-31-2016,1.94
12-31-2017,1.52
12-31-2018,1.53
12-31-2019,1.77
12-31-2020,2.4
12-31-2021,1.4
12-31-2022,1.42
