Year,CO2-Emmisionen
12-31-1990,21284042.79
12-31-1991,21440490.2
12-31-1992,21390040.84
12-31-1993,21531833.41
12-31-1994,21676894.94
12-31-1995,22299203.28
12-31-1996,22778983.29
12-31-1997,23202623.39
12-31-1998,23365547.83
12-31-1999,23530421.41
12-31-2000,24280271.96
12-31-2001,24644437.95
12-31-2002,24989512.93
12-31-2003,26133423.08
12-31-2004,27331852.94
12-31-2005,28371817.05
12-31-2006,29308175.54
12-31-2007,30418994.07
12-31-2008,30632298.65
12-31-2009,30238050.03
12-31-2010,32095872.94
12-31-2011,33079721.35
12-31-2012,33460087.5
12-31-2013,34119894.39
12-31-2014,34261369.66
12-31-2015,34070176.85
12-31-2016,34145652.3
12-31-2017,34687837.09
12-31-2018,35560555.79
12-31-2019,35477245.4
12-31-2020,33566427.59
